Week,Mon,Tue,Wed,Thu,Fri,Sat,Sun
1,Rest,4 mi run,30 min cross,3 mi run,Rest,6 mi run,30 min cross
2,Rest,4 mi run,35 min cross,30 min trempo,Rest,6 mi run,35 min cross
3,Rest,5 mi run,40 min cross,3 mi pace,Rest,7 mi run,40 min cross
4,Rest,5 mi run,45 min cross,4 mi run,Rest,7 mi run,45 min cross
5,Rests,4 mi run,50 min cross,40 min tempo,Rest,8 mi run,50 min cross
6,Rest,4 mi run,30 min cross,3 mi pace,Rest or easy run,Rest,5-K Race
7,Rest,6 mi run,50 min cross,5 mi run,Rest,9 mi run,50 min cross
8,Rest,6 mi run,50 min cross,50 min tempo,Rest,9 mi run,50 min cross
9,Rest,4 mi run,30 min cross,3 mi pace,Rest or easy run,Rest,10-K Race
10,Rest,6 mi run,60 min cross,6 mi run,Rest,10 mi run,60 min cross
11,Rest,6 mi run,60 min cross,60 min tempo,Rest,10 mi run,60 min cross
12,Rest,4 mi run,30 min cross,3 mi pace,Rest,Rest,Half Marathon
