Week,Mon,Tue,Wed,Thu,Fri,Sat,Sun
1,30 min cross,3 mi run,5 x 400 5-K pace,3 mi run,Rest,3 mi run,5 mi run
2,30 min cross,3 mi run,30 min tempo,3 mi run,Rest,3 mi pace,6 mi run
3,40 min cross,3.5 mi run,6 x 400 5-K pace,3 mi run,Rest,Rest,5-K Race
4,40 min cross,3.5 mi run,35 min tempo,3 mi run,Rest,3 mi run,7 mi run
5,40 min cross,4 mi run,7 x 400 5-K pace,3 mi run,Rest,3 mi pace,8 mi run
6,50 min cross,4 mi run,40 min tempo,3 mi run,Rest or easy run,Rest,10-K Race
7,Rest,4.5 mi run,8 x 400 5-K pace,3 mi run,Rest,4 mi pace,9 mi run
8,50 min cross,4.5 mi run,40 min tempo,3 mi run,Rest,5 mi pace,10 mi run
9,60 min cross,5 mi run,9 x 400 5-K pace,3 mi run,Rest or easy run,Rest,15-K Race
10,Rest,5 mi run,45 min tempo,3 mi run,Rest,5 mi pace,11 mi run
11,60 min cross,5 mi run,10 x 400 5-K pace,3 mi run,Rest,3 mi pace,12 mi run
12,Rest,4 mi run,30 min tempo,2 mi run,Rest,Rest,Half Marathon
