Week,Mon,Tue,Wed,Thu,Fri,Sat,Sun
1,Cross,3 mi run,5 mi run,3 mi run,Rest,5 mi pace,10
2,Cross,3 mi run,5 mi run,3 mi run,Rest,5 mi run,11
3,Cross,3 mi run,6 mi run,3 mi run,Rest,6 mi pace,8
4,Cross,3 mi run,6 mi run,3 mi run,Rest,6 mi pace,13
5,Cross,3 mi run,7 mi run,3 mi run,Rest,7 mi run,14
6,Cross,3 mi run,7 mi run,3 mi run,Rest,7 mi pace,10
7,Cross,4 mi run,8 mi run,4 mi run,Rest,8 mi pace,16
8,Cross,4 mi run,8 mi run,4 mi run,Rest,8 mi run,17
9,Cross,4 mi run,9 mi run,4 mi run,Rest,Rest,Half Marathon
10,Cross,4 mi run,9 mi run,4 mi run,Rest,9 mi pace,19
11,Cross,5 mi run,10 mi run,5 mi run,Rest,10 mi run,20
12,Cross,5 mi run,6 mi run,5 mi run,Rest,6 mi pace,12
13,Cross,5 mi run,10 mi run,5 mi run,Rest,10 mi pace,20
14,Cross,5 mi run,6 mi run,5 mi run,Rest,6 mi run,12
15,Cross,5 mi run,10 mi run,5 mi run,Rest,10 mi pace,20
16,Cross,5 mi run,8 mi run,5 mi run,Rest,4 mi pace,12
17,Cross,4 mi run,6 mi run,4 mi run,Rest,4 mi run,8
18,Cross,3 mi run,4 mi run,Rest,Rest,2 mi run,Marathon
