Week,Mon,Tue,Wed,Thu,Fri,Sat,Sun
1,Rest,3 mi run,Bike: 30 min,3 mi pace,Rest,6 mi run,Cross 60 min
2,Rest,4 mi run,Bike: 30 min,30 min tempo,Rest,7 mi run,Cross 60 min
3,Rest,3 mi run,Bike: 30 min,3 mi run,Rest,5 mi run,Cross 60 min
4,Rest,5 mi run,Bike: 35 min,3 mi pace,Rest,9 mi run,Cross 65 min
5,Rest,5 mi run,Bike: 35 min,35 min tempo,Rest,10 mi run,Cross 65 min
6,Rest,4 mi run,Bike: 35 min,4 mi run,Rest,8 mi run,Cross 65 min
7,Rest,6 mi run,Bike: 40 min,4 mi pace,Rest,12 mi run,Cross 70 min
8,Rest,7 mi run,Bike: 40 min,40 min tempo,Rest,13 mi run,Cross 70 min
9,Rest,5 mi run,Bike: 40 min,5 mi run,Rest,Rest,5-K Race
10,Rest,7 mi run,Bike: 45 min,4 mi pace,Rest,15 mi run,Cross 75 min
11,Rest,8 mi run,Bike: 45 min,45 min tempo,Rest,16 mi run,Cross 75 min
12,Rest,6 mi run,Bike: 45 min,6 mi run,Rest,Rest,10-K Race
13,Rest,8 mi run,Bike: 50 min,5 mi pace,Rest,17 mi run,Cross 80 min
14,Rest,9 mi run,Bike: 50 min,50 min tempo,Rest,18 mi run,Cross 80 min
15,Rest,6 mi run,Bike: 50 min,6 mi run,Rest,13 mi run,Cross 80 min
16,Rest,9 mi run,Bike: 55 min,6 mi pace,Rest,Rest,Half Marathon
17,Rest,10 mi run,Bike: 55 min,55 min tempo,Rest,20 mi run,Cross 85 min
18,Rest,7 mi run,Bike: 55 min,7 mi run,Rest,14 mi run,Cross 85 min
19,Rest,10 mi run,Bike: 60 min,7 mi pace,Rest,20 mi run,Cross 85 min
20,Rest,8 mi run,Bike: 60 min,8 mi run,Rest,Rest,10-K Race
21,Rest,10 mi run,Bike: 60 min,60 min tempo,Rest,20 mi run,Cross 90 min
22,Rest,6 mi run,Bike: 50 min,6 mi run,Rest,12 mi run,Cross 75 min
23,Rest,4 mi run,Bike: 40 min,4 mi run,Rest,8 mi run,Cross 60 min
24,Rest,5 mi run,Bike: 30 min,Rest,Rest,1-2 mi run,Marathon
