Week,Mon,Tue,Wed,Thu,Fri,Sat,Sun
1,Rest,1.5 mi run,3 mi run,1.5 mi run,Rest,3 mi run,30 min walk
2,Rest,1.5 mi run,3 mi run,1.5 mi run,Rest,3.5 mi run,35 min walk
3,Rest,1.5 mi run,3 mi run,1.5 mi run,Rest,3 mi run,40 min walk
4,Rest,2 mi run,3 mi run,1.5 mi run,Rest,4 mi run,30 min walk
5,Rest,2 mi run,3 mi run,2 mi run,Rest,3 mi run,45 min walk
6,Rest,2 mi run,3 mi run,2 mi run,Rest,4.5 mi run,30 min walk
7,Rest,2 mi run,3 mi run,2 mi run,Rest,3 mi run,50 min walk
8,Rest,2 mi run,3 mi run,2 mi run,Rest,5 mi run,30 min walk
9,Rest,2 mi run,3 mi run,2.5 mi run,Rest,3 mi run,55 min walk
10,Rest,2 mi run,3 mi run,2.5 mi run,Rest,5.5 mi run,30 min walk
11,Rest,3 mi run,3 mi run,3 mi run,Rest,3 mi run,60 min walk
12,Rest,3 mi run,3 mi run,3 mi run,Rest,6 mi run,30 min walk
13,Rest,3 mi run,3 mi run,3 mi run,Rest,6 mi run,Cross
14,Rest,3 mi run,3 mi run,3 mi run,Rest,7 mi run,Cross
15,Rest,3 mi run,4 mi run,3 mi run,Rest,5 mi run,Cross
16,Rest,3 mi run,4 mi run,3 mi run,Rest,9 mi run,Cross
17,Rest,3 mi run,5 mi run,3 mi run,Rest,10 mi run,Cross
18,Rest,3 mi run,5 mi run,3 mi run,Rest,7 mi run,Cross
19,Rest,3 mi run,6 mi run,3 mi run,Rest,12 mi run,Cross
20,Rest,3 mi run,6 mi run,3 mi run,Rest,13 mi run,Cross
21,Rest,3 mi run,7 mi run,4 mi run,Rest,10 mi run,Cross
22,Rest,3 mi run,7 mi run,4 mi run,Rest,15 mi run,Cross
23,Rest,4 mi run,8 mi run,4 mi run,Rest,16 mi run,Cross
24,Rest,4 mi run,8 mi run,5 mi run,Rest,12 mi run,Cross
25,Rest,4 mi run,9 mi run,5 mi run,Rest,18 mi run,Cross
26,Rest,5 mi run,9 mi run,5 mi run,Rest,14 mi run,Cross
27,Rest,5 mi run,10 mi run,5 mi run,Rest,20 mi run,Cross
28,Rest,5 mi run,8 mi run,4 mi run,Rest,12 mi run,Cross
29,Rest,4 mi run,6 mi run,3 mi run,Rest,8 mi run,Cross
30,Rest,3 mi run,4 mi run,2 mi run,Rest,Rest,Marathon
